metabolic_pathway	gene_symbol
Alanine and Aspartate Metabolism	Acy3
Alanine and Aspartate Metabolism	Agxt
Alanine and Aspartate Metabolism	Agxt2
Alanine and Aspartate Metabolism	Asl
Alanine and Aspartate Metabolism	Asns
Alanine and Aspartate Metabolism	Aspa
Alanine and Aspartate Metabolism	Asrgl1
Alanine and Aspartate Metabolism	Ass1
Alanine and Aspartate Metabolism	Ddo
Alanine and Aspartate Metabolism	Etnppl
Alanine and Aspartate Metabolism	Got1
Alanine and Aspartate Metabolism	Got2
Alanine and Aspartate Metabolism	Plpbp
Alkaloid biosynthesis II	Aadac
Alkaloid biosynthesis II	Aoc1
Alkaloid biosynthesis II	Aoc2
Alkaloid biosynthesis II	Aoc3
Alkaloid biosynthesis II	Ces2h
Aminosugar Metabolism	Amdhd2
Aminosugar Metabolism	Chia1
Aminosugar Metabolism	Chit1
Aminosugar Metabolism	Cmas
Aminosugar Metabolism	Gale
Aminosugar Metabolism	Gck
Aminosugar Metabolism	Gfpt1
Aminosugar Metabolism	Gfpt2
Aminosugar Metabolism	Gne
Aminosugar Metabolism	Gnpda1
Aminosugar Metabolism	Gnpda2
Aminosugar Metabolism	Gnpnat1
Aminosugar Metabolism	Hk1
Aminosugar Metabolism	Hk2
Aminosugar Metabolism	Hk3
Aminosugar Metabolism	Hkdc1
Aminosugar Metabolism	Mansc1
Aminosugar Metabolism	Nagk
Aminosugar Metabolism	Nans
Aminosugar Metabolism	Pgm3
Aminosugar Metabolism	Renbp
Aminosugar Metabolism	Uap1
Arginine and Proline Metabolism	4844
Arginine and Proline Metabolism	4845
Arginine and Proline Metabolism	Agmat
Arginine and Proline Metabolism	Aldh1a1
Arginine and Proline Metabolism	Aldh1a2
Arginine and Proline Metabolism	Aldh1b1
Arginine and Proline Metabolism	Aldh2
Arginine and Proline Metabolism	Aldh3a2
Arginine and Proline Metabolism	Aldh4a1
Arginine and Proline Metabolism	Aldh7a1
Arginine and Proline Metabolism	Aldh9a1
Arginine and Proline Metabolism	Amd1
Arginine and Proline Metabolism	Aoc1
Arginine and Proline Metabolism	Aoc2
Arginine and Proline Metabolism	Aoc3
Arginine and Proline Metabolism	Azin2
Arginine and Proline Metabolism	Dao
Arginine and Proline Metabolism	Got1
Arginine and Proline Metabolism	Got2
Arginine and Proline Metabolism	Maoa
Arginine and Proline Metabolism	Maob
Arginine and Proline Metabolism	Mtap
Arginine and Proline Metabolism	Nos1
Arginine and Proline Metabolism	Nos2
Arginine and Proline Metabolism	Nos3
Arginine and Proline Metabolism	P4ha1
Arginine and Proline Metabolism	P4ha2
Arginine and Proline Metabolism	P4hb
Arginine and Proline Metabolism	Prodh
Arginine and Proline Metabolism	Prodh2
Arginine and Proline Metabolism	Pycr1
Arginine and Proline Metabolism	Sat1
Arginine and Proline Metabolism	Sat2
Ascorbate and Aldarate Metabolism	Aldh3b2
Ascorbate and Aldarate Metabolism	Aldh1a1
Ascorbate and Aldarate Metabolism	Aldh1a2
Ascorbate and Aldarate Metabolism	Aldh1a3
Ascorbate and Aldarate Metabolism	Aldh1b1
Ascorbate and Aldarate Metabolism	Aldh2
Ascorbate and Aldarate Metabolism	Aldh3a1
Ascorbate and Aldarate Metabolism	Aldh3a2
Ascorbate and Aldarate Metabolism	Aldh3b1
Ascorbate and Aldarate Metabolism	Aldh4a1
Ascorbate and Aldarate Metabolism	Aldh9a1
Ascorbate and Aldarate Metabolism	Glrx
Ascorbate and Aldarate Metabolism	Glrx2
Bile Acid Biosynthesis	Acox2
Bile Acid Biosynthesis	Akr1c6
Bile Acid Biosynthesis	Akr1d1
Bile Acid Biosynthesis	Amacr
Bile Acid Biosynthesis	Baat
Bile Acid Biosynthesis	Ch25h
Bile Acid Biosynthesis	Cyp27a1
Bile Acid Biosynthesis	Cyp39a1
Bile Acid Biosynthesis	Cyp46a1
Bile Acid Biosynthesis	Cyp7a1
Bile Acid Biosynthesis	Cyp7b1
Bile Acid Biosynthesis	Cyp8b1
Bile Acid Biosynthesis	Hsd17b4
Bile Acid Biosynthesis	Hsd3b7
Bile Acid Biosynthesis	Scp2
Bile Acid Biosynthesis	Slc27a2
Biotin Metabolism	Btd
Biotin Metabolism	Hlcs
Blood Group Biosynthesis	B3gnt2
Blood Group Biosynthesis	B3gnt3
Blood Group Biosynthesis	B3gnt5
Blood Group Biosynthesis	Fut1
Blood Group Biosynthesis	Fut9
Blood Group Biosynthesis	Gcnt2
Blood Group Biosynthesis	St3gal6
Blood Group Biosynthesis	St8sia5
Butanoate Metabolism	Acad10
Butanoate Metabolism	Acad11
Butanoate Metabolism	Acad8
Butanoate Metabolism	Acad9
Butanoate Metabolism	Acadm
Butanoate Metabolism	Acads
Butanoate Metabolism	Acadsb
Butanoate Metabolism	Bdh1
Butanoate Metabolism	Echdc2
C5-Branched dibasic acid metabolism	Sucla2
C5-Branched dibasic acid metabolism	Suclg1
C5-Branched dibasic acid metabolism	Suclg2
CYP Metabolism	Cyp2c54
CYP Metabolism	Cyp2c55
CYP Metabolism	Cyp2c66
CYP Metabolism	Cyp2d22
CYP Metabolism	Cyp2e1
CYP Metabolism	Cyp2f2
CYP Metabolism	Cyp3a13
CYP Metabolism	Cyp3a41b
CYP Metabolism	Cyp4a10
