,pathway,gene_symbol
0,Alanine and aspartate metabolism,ACY3
1,Alanine and aspartate metabolism,AGXT
2,Alanine and aspartate metabolism,AGXT2
3,Alanine and aspartate metabolism,ASL
4,Alanine and aspartate metabolism,ASNS
5,Alanine and aspartate metabolism,ASPA
6,Alanine and aspartate metabolism,ASPG
7,Alanine and aspartate metabolism,ASRGL1
8,Alanine and aspartate metabolism,ASS1
9,Alanine and aspartate metabolism,DDO
10,Alanine and aspartate metabolism,ETNPPL
11,Alanine and aspartate metabolism,GOT1
12,Alanine and aspartate metabolism,GOT2
13,Alanine and aspartate metabolism,PROSC
14,Alkaloid synthesis,CES2
15,Aminosugar metabolism,ACP5
16,Aminosugar metabolism,ACP6
17,Aminosugar metabolism,AMDHD2
18,Aminosugar metabolism,CHIA
19,Aminosugar metabolism,CHIT1
20,Aminosugar metabolism,CMAS
21,Aminosugar metabolism,GALE
22,Aminosugar metabolism,GCK
23,Aminosugar metabolism,GFPT1
24,Aminosugar metabolism,GFPT2
25,Aminosugar metabolism,GNE
26,Aminosugar metabolism,GNPDA1
27,Aminosugar metabolism,GNPDA2
28,Aminosugar metabolism,GNPNAT1
29,Aminosugar metabolism,HEXA
30,Aminosugar metabolism,HEXB
31,Aminosugar metabolism,HK1
32,Aminosugar metabolism,HK2
33,Aminosugar metabolism,HK3
34,Aminosugar metabolism,HKDC1
35,Aminosugar metabolism,MANSC1
36,Aminosugar metabolism,MGEA5
37,Aminosugar metabolism,NAGK
38,Aminosugar metabolism,NANP
39,Aminosugar metabolism,NANS
40,Aminosugar metabolism,PGM3
41,Aminosugar metabolism,RENBP
42,Aminosugar metabolism,TSTA3
43,Aminosugar metabolism,UAP1
44,Aminosugar metabolism,UAP1L1
45,Aminosugar metabolism,UXS1
46,Androgen and estrogen synthesis and metabolism,AKR1C1
47,Androgen and estrogen synthesis and metabolism,AKR1C2
48,Androgen and estrogen synthesis and metabolism,AKR1C3
49,Androgen and estrogen synthesis and metabolism,AKR1C4
50,Androgen and estrogen synthesis and metabolism,AKR1D1
51,Androgen and estrogen synthesis and metabolism,CYP17A1
52,Androgen and estrogen synthesis and metabolism,CYP19A1
53,Androgen and estrogen synthesis and metabolism,CYP1A1
54,Androgen and estrogen synthesis and metabolism,CYP1A2
55,Androgen and estrogen synthesis and metabolism,CYP1B1
56,Androgen and estrogen synthesis and metabolism,CYP2A13
57,Androgen and estrogen synthesis and metabolism,CYP2A6
58,Androgen and estrogen synthesis and metabolism,CYP2A7
59,Androgen and estrogen synthesis and metabolism,CYP2B6
60,Androgen and estrogen synthesis and metabolism,CYP2C18
61,Androgen and estrogen synthesis and metabolism,CYP2C19
62,Androgen and estrogen synthesis and metabolism,CYP2C8
63,Androgen and estrogen synthesis and metabolism,CYP2C9
64,Androgen and estrogen synthesis and metabolism,CYP2D6
65,Androgen and estrogen synthesis and metabolism,CYP2E1
66,Androgen and estrogen synthesis and metabolism,CYP2F1
67,Androgen and estrogen synthesis and metabolism,CYP2J2
68,Androgen and estrogen synthesis and metabolism,CYP2S1
69,Androgen and estrogen synthesis and metabolism,CYP2U1
70,Androgen and estrogen synthesis and metabolism,CYP3A4
